Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;  RO_t_1  ;  HO_t_1  ;  C_t_1  ;  HT_t_1  ;  RO  ;  HO  ;  C  ;  HT  
2021;9;1379;3;F;1;9;2;;;;;;;;
2021;9;1393;3;F;1;9;2;7472173;2985;8945933;2990;7615611;2863;9544882;2909
2021;9;1841;3;F;1;9;2;16989449;6475;19488152;6637;20240378;7101;23321840;7331
2021;9;1570;3;F;1;9;3;;;;;;;;
2021;9;285;3;F;1;9;3;1522642;387;1678368;387;1522642;387;1808423;411
2021;9;948;3;F;1;9;1;1853561;693;2068226;707;1174279;461;1271163;467
2021;9;953;3;F;1;9;1;;;;;;;;
2021;9;1069;3;F;1;9;1;3977584;1632;4721310;1637;5406775;2218;6430223;2223
2021;9;1840;3;F;1;9;1;15778499;5128;17507286;5289;10386297;3764;11093962;3769
2021;9;1845;3;F;1;9;1;430819;194;485661;194;429763;194;484605;194
2021;9;1097;3;F;1;9;1;13267773;4095;15177756;4238;11600903;3618;13278857;3703
2021;9;1098;3;F;1;9;1;1293250;471;1616943;473;1293250;471;1616943;472
2021;9;1653;3;F;1;9;3;854884;181;1032020;181;842527;179;1027522;179
2021;9;1099;3;F;1;9;3;268817;88;276801;88;290323;88;298946;88
2021;9;1654;3;F;1;9;2;143183;66;191748;66;150028;68;200957;68
2021;9;1100;3;F;1;9;1;213583206;70054;239914493;73316;172801954;59092;193864895;61527
2021;9;1119;3;F;1;9;3;;;;;;;;
2021;9;1132;3;F;1;9;2;13245426;3269;23208391;3269;12315698;3073;22921075;3145
2021;9;1143;3;F;1;9;1;230163;99;251358;99;;;;
2021;9;1842;3;F;1;9;3;830501;387;1029772;387;1047519;497;1274694;497
2021;9;1149;3;F;1;9;1;208935;88;228409;88;357279;155;381933;155
2021;9;1701;3;F;1;9;3;503356;172;650961;172;503356;172;658949;172
2021;9;1153;3;F;1;9;1;8987317;3251;10893623;3352;9233717;3470;11247367;3570
2021;9;1155;3;F;1;9;2;2069849;670;2280996;681;865082;374;1004114;376
2021;9;1158;3;F;1;9;1;863642;194;1028307;209;869037;194;1039627;209
2021;9;1159;3;F;1;9;1;3015801;1144;3433189;1163;3034639;1144;3470983;1162
2021;9;1164;3;F;1;9;1;26093082;9133;31483288;9286;29252454;10352;37000538;10623
2021;9;1165;3;F;1;9;1;;;;;;;;
2021;9;1185;3;F;1;9;1;24857036;9118;27528725;9243;27513726;9409;30706564;9602
2021;9;1210;3;F;1;9;3;;;;;;;;
2021;9;1824;3;F;1;9;2;3821093;1355;4266680;1423;5913710;2109;6448912;2150
2021;9;1231;3;F;1;9;1;231250;80;258949;80;231250;80;258949;80
2021;9;1853;3;F;1;9;2;701433;194;740292;194;663564;181;704481;181
2021;9;1826;3;F;1;9;2;4095623;1756;4462000;1767;3673236;1511;4214074;1524
2021;9;1281;3;F;1;9;3;2518281;964;4174230;964;2378604;905;3936623;905
2021;9;1314;3;F;1;9;1;5710356;1277;6371199;1363;5861625;1316;6494287;1395
2021;9;1323;3;F;1;9;2;104371;59;149336;64;109361;60;156508;66
2021;9;1326;3;F;1;9;1;17434494;5202;19165935;5282;14637248;4185;16042316;4274
2021;9;1327;3;F;1;9;1;159041655;54469;189385212;55950;175078405;59375;210176440;61268
2021;9;1329;3;F;1;9;1;85119359;28651;97237070;30002;87675699;28844;99842415;30046
2021;9;1349;3;F;1;9;3;11376541;4854;12774288;4854;11607910;4825;13090468;4825
2021;9;1354;3;F;1;9;1;4301447;1832;5402984;1875;5670784;2296;6822790;2314
2021;9;1868;3;F;1;9;1;4383046;1345;5103657;1378;3463678;1151;4243824;1241
2021;9;1380;3;F;1;9;1;38167791;11300;41826196;11582;48691488;14180;54084281;14677
2021;9;1381;3;F;1;9;1;24059800;8075;27706292;8292;25916861;8656;29358446;8778
2021;9;1389;3;F;1;9;3;679433;194;717073;194;1042830;265;1124616;267
2021;9;1409;3;F;1;9;1;15930825;5973;19740689;6121;19316849;7192;24252403;7300
2021;9;1410;3;F;1;9;1;14287818;4882;17529367;5093;15052821;5342;18359780;5570
2021;9;1411;3;F;1;9;2;224666;93;237718;93;70209;32;77156;32
2021;9;1896;3;F;1;9;2;748008;194;843935;194;889081;194;999810;194
2021;9;1422;3;F;1;9;1;64967865;24638;76610614;24756;73391782;27707;87806002;28417
2021;9;1425;3;F;1;9;1;8198449;3278;9099560;3329;8249661;3279;9199733;3326
2021;9;1426;3;F;1;9;1;;;;;;;;
2021;9;1454;3;F;1;9;1;8409844;2464;9193088;2464;;;;
2021;9;1695;3;F;1;9;2;287276;103;621569;141;301011;106;651420;145
2021;9;1520;3;F;1;9;3;7089950;1493;7964923;1493;7463599;1548;8700184;1548
2021;9;1538;3;F;1;9;1;80089445;26729;88960428;26848;73134337;24362;81878143;24439
2021;9;1579;3;F;1;9;1;;;;;;;;
2021;9;1580;3;F;1;9;2;1132867;387;1270997;387;929753;316;1029283;316
2021;9;1581;3;F;1;9;1;481664;194;634792;194;;;;
2021;9;1582;3;F;1;9;1;2667879;967;3014765;967;2831005;967;3240415;969
2021;9;1590;3;F;1;9;3;4330335;1548;4736351;1587;4840057;1548;5234876;1582
2021;9;1593;3;F;1;9;1;6296378;1644;8803879;2304;6335708;1645;8900797;2302
2021;9;1597;3;F;1;9;1;68171006;21458;78271842;21802;58279512;17846;67896376;18252
2021;9;1601;3;F;1;9;3;;;;;;;;
2021;9;1604;3;F;1;9;1;;;;;;;;
2021;9;1607;3;F;1;9;1;12937361;5044;16142381;5319;9857561;4083;11868211;4216
2021;9;1608;3;F;1;9;1;14498052;4528;17692533;4761;12441018;3953;14690008;4079
2021;9;1609;3;F;1;9;1;85158714;30051;107732167;31067;85824898;29889;107002255;30598
2021;9;1610;3;F;1;9;2;;;;;;;;
2021;9;1710;3;F;1;9;2;1873893;908;2394928;972;1963483;930;2509947;999
2021;9;1622;3;F;1;9;3;;;;;;;;
2021;9;1624;3;F;1;9;3;1224366;480;1345639;481;1206668;475;1339774;476
2021;9;1628;3;F;1;9;1;441825;149;472735;152;444585;149;477939;152
2021;9;1629;3;F;1;9;1;1842230;566;2112657;566;1797249;559;2070533;559
2021;9;1639;3;F;1;9;1;5552786;2522;6210494;2562;4364458;1837;4925102;1864
2021;9;9;3;F;1;9;1;8088474;2063;8964245;2072;10364446;2503;11707395;2537
2021;9;24;3;F;1;9;2;275000;70;323069;70;804088;205;1001516;227
2021;9;25;3;F;1;9;1;2301020;1351;2472590;1351;2301020;1351;2472590;1351
2021;9;60;3;F;1;9;3;;;;;;;;
2021;9;64;3;F;1;9;2;5620310;2910;7692670;2910;2625430;1358;3756760;1358
2021;9;76;3;F;1;9;2;328665;171;402701;171;344378;175;422041;176
2021;9;134;3;F;1;9;1;10661499;4005;11515828;4030;13634764;4887;14710392;4901
2021;9;1884;3;F;1;9;2;36723804;13797;40892405;13797;36897575;12842;40749568;12842
2021;9;185;3;F;1;9;1;12163072;4289;14357129;4429;15320437;5354;18176742;5565
2021;9;187;3;F;1;9;1;35729691;11720;45232398;12373;33899634;11017;43650627;11456
2021;9;198;3;F;1;9;2;;;;;;;;
2021;9;221;3;F;1;9;1;;;;;;;;
2021;9;224;3;F;1;9;1;13832664;4947;16164795;5082;12971327;4489;15074981;4599
2021;9;253;3;F;1;9;1;;;;;;;;
2021;9;256;3;F;1;9;1;;;;;;;;
2021;9;307;3;F;1;9;1;;;;;;;;
2021;9;332;3;F;1;9;3;1193033;627;1825861;627;1345192;660;1977899;660
2021;9;393;3;F;1;9;1;;;;;;;;
2021;9;401;3;F;1;9;3;;;;;;;;
2021;9;403;3;F;1;9;3;;;;;;;;
2021;9;405;3;F;1;9;1;;;;;3797980;1045;4779235;1045
2021;9;1786;3;F;1;9;1;8230808;3161;9633300;3166;7812752;3051;9175449;3057
2021;9;422;3;F;1;9;1;17701749;6011;21034181;6044;17136939;5657;20489021;5713
2021;9;423;3;F;1;9;1;13153731;3960;14181899;3982;12943058;3786;14055116;3795
2021;9;424;3;F;1;9;1;517852;191;555118;195;521087;191;561229;195
2021;9;425;3;F;1;9;3;4386458;1690;4818825;1690;4655000;1853;5467361;1853
2021;9;427;3;F;1;9;1;1997606;387;2135441;387;1997606;387;2135441;387
2021;9;446;3;F;1;9;3;;;;;;;;
2021;9;460;3;F;1;9;1;8987744;3535;9746495;3612;9880329;3954;10612064;3993
2021;9;462;3;F;1;9;1;12609385;3925;14945959;4035;12964851;4158;15312331;4247
2021;9;463;3;F;1;9;2;4915235;1496;6710112;1565;3033912;942;4278725;1013
2021;9;464;3;F;1;9;1;3560535;892;4130599;917;3360865;892;3918976;918
2021;9;466;3;F;1;9;1;536383;201;665250;203;539734;201;672573;203
2021;9;467;3;F;1;9;3;5815387;1518;6409271;1522;5731327;1502;6381338;1508
2021;9;468;3;F;1;9;1;69576278;25814;89384477;26570;65193949;23394;86882604;24313
2021;9;471;3;F;1;9;1;6404150;2006;7228595;2098;7398678;2264;8301897;2356
2021;9;473;3;F;1;9;1;;;;;;;;
2021;9;474;3;F;1;9;1;18990517;7727;22784677;7858;22593898;9487;27300199;9599
2021;9;475;3;F;1;9;2;;;;;;;;
2021;9;476;3;F;1;9;2;;;;;;;;
2021;9;478;3;F;1;9;2;2238084;875;2658421;898;4213425;1926;4774153;1926
2021;9;479;3;F;1;9;1;;;;;;;;
2021;9;481;3;F;1;9;3;;;;;;;;
2021;9;482;3;F;1;9;3;468498;172;484683;173;461726;170;482571;171
2021;9;1787;3;F;1;9;1;52016593;15158;62324541;15765;56526556;17157;67792299;17731
2021;9;544;3;F;1;9;1;10782990;3625;12778925;3747;8888919;3096;10398040;3117
2021;9;546;3;F;1;9;1;24187480;9411;26684234;9415;29036025;10885;32120489;10922
2021;9;549;3;F;1;9;1;32298;16;37481;16;32500;16;37894;16
2021;9;1808;3;F;1;9;3;;;;;;;;
2021;9;552;3;F;1;9;1;27477838;8987;32277087;9045;30038775;9500;35286360;9533
2021;9;561;3;F;1;9;3;1947625;612;2875351;612;2598610;582;3459899;582
2021;9;562;3;F;1;9;3;;;;;;;;
2021;9;567;3;F;1;9;1;3191403;900;3773433;931;2794488;771;3261215;796
2021;9;572;3;F;1;9;1;3446982;858;3748140;867;2961005;955;3262459;971
2021;9;573;3;F;1;9;2;37805761;17698;49383411;18604;38965878;18427;50822688;19345
2021;9;1848;3;F;1;9;1;;;;;;;;
2021;9;1851;3;F;1;9;1;52651222;16670;61885629;17394;48729793;15341;57035875;15788
2021;9;583;3;F;1;9;2;17494990;4573;25819599;4573;17494990;4573;25819599;4573
2021;9;586;3;F;1;9;2;;;;;;;;
2021;9;589;3;F;1;9;2;1141723;123;1212439;123;518220;60;578751;60
2021;9;592;3;F;1;9;2;3319685;1131;3816480;1131;3904992;1338;4422875;1338
2021;9;617;3;F;1;9;1;17432905;6231;19215123;6424;15761892;5637;17355002;5802
2021;9;634;3;F;1;9;1;6805498;2606;7743067;2606;8262746;2786;9552441;2786
2021;9;639;3;F;1;9;1;15898456;4928;17634628;4995;15944204;4702;17909669;4801
2021;9;641;3;F;1;9;2;;;;;;;;
2021;9;684;3;F;1;9;1;815714;316;909030;316;820809;316;919037;316
2021;9;1814;3;F;1;9;2;633405;194;677680;194;633403;194;679425;194
2021;9;693;3;F;1;9;3;13079944;4577;15357458;4624;9658432;4024;11533172;4065
2021;9;697;3;F;1;9;3;;;;;;;;
2021;9;708;3;F;1;9;3;;;;;;;;
2021;9;710;3;F;1;9;1;1133163;383;1385726;390;1086540;372;1337216;378
2021;9;723;3;F;1;9;1;14454347;5195;16844311;5410;14786928;5376;17189095;5594
2021;9;735;3;F;1;9;1;5678694;2471;7277770;2735;5714166;2472;7357888;2732
2021;9;1689;3;F;1;9;1;2217209;961;2578804;961;2279709;961;2634410;961
2021;9;1894;3;F;1;9;3;;;;;;;;
2021;9;1827;3;F;1;9;3;;;;;;;;
2021;9;1822;3;F;1;9;3;1420076;387;1542771;387;1849414;458;1965436;458
2021;9;1877;3;F;1;9;3;;;;;;;;
2021;9;469;3;F;1;9;1;3135901;1186;3587120;1196;2884901;1083;3181705;1092
