Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;  RO_t_1  ;  HO_t_1  ;  C_t_1  ;  HT_t_1  ;  RO  ;  HO  ;  C  ;  HT  
2021;8;984;2;G;1;3;1;;;;;;;;
2021;8;984;2;G;1;9;1;;;;;;;;
2021;8;984;2;G;2;1;1;77751733;560;77866088;560;71938948;546;72147068;546
2021;8;984;2;G;2;2;1;183390146;10406;191665077;10473;189028424;10406;196839536;10473
2021;8;984;2;G;2;3;1;;;;;;;;
2021;8;984;2;G;2;8;1;;;;;;;;
2021;8;984;2;G;2;9;1;;;;;;;;
2021;8;984;2;G;1;1;1;6939274;183;7106113;183;6936995;183;7114188;183
2021;8;984;2;G;1;2;1;81519329;4325;83894662;4326;75377580;4329;77642973;4329
2021;8;984;2;G;1;4;1;;;;;;;;
2021;8;984;2;G;1;5;1;;;;;;;;
2021;8;984;2;G;1;6;1;;;;;;;;
2021;8;984;2;G;1;7;1;;;;;;;;
2021;8;984;2;G;1;8;1;;;;;;;;
2021;8;984;2;G;2;4;1;;;;;;;;
2021;8;984;2;G;2;5;1;;;;;;;;
2021;8;984;2;G;2;6;1;;;;;;;;
2021;8;984;2;G;2;7;1;1294973;363;1334394;363;1283809;347;1304864;348
2021;8;952;3;B;1;1;1;380233601;9344;390948408;9344;383697306;9344;394669631;9344
2021;8;952;3;B;1;2;1;1226660122;58684;1285129404;58684;1275867007;59570;1338358160;59570
2021;8;952;3;B;1;3;1;14225166;1264;15339031;1264;14881384;1264;15906590;1264
2021;8;952;3;B;1;4;1;11486346;729;12204410;729;15693306;909;16659596;909
2021;8;952;3;B;1;5;1;;;;;;;;
2021;8;952;3;B;1;6;1;;;;;;;;
2021;8;952;3;B;1;7;1;261321472;29799;295365863;29799;322284378;29799;351115678;29799
2021;8;952;3;B;1;8;1;436277653;53277;486081274;53277;513383809;53096;555467852;53096
2021;8;952;3;B;1;9;1;;;;;;;;
2021;8;952;3;B;2;1;1;1080248901;21123;1100569168;21123;1114453579;21475;1135607261;21475
2021;8;952;3;B;2;2;1;2810882351;110426;2913106442;110426;2803070773;109893;2905367752;109893
2021;8;952;3;B;2;3;1;322893137;24200;343149205;24200;378248571;24381;397001471;24381
2021;8;952;3;B;2;4;1;4150475;181;4336170;181;4150476;181;4337278;181
2021;8;952;3;B;2;5;1;;;;;;;;
2021;8;952;3;B;2;6;1;;;;;;;;
2021;8;952;3;B;2;7;1;1604056223;135992;1734752957;135992;1886952372;135992;2002618531;135992
2021;8;952;3;B;2;8;1;2706742566;224486;2905183448;224486;3162501950;224666;3336103571;224666
2021;8;952;3;B;2;9;1;2281525;181;2481881;181;2705892;181;2892694;181
2021;8;995;3;M;1;6;3;;;;;;;;
2021;8;995;3;M;2;6;3;;;;;;;;
2021;8;995;3;M;1;1;3;14843234;964;18114588;964;15786828;964;19428067;964
2021;8;995;3;M;1;2;3;214881980;32338;249044911;32444;222432131;32713;261738581;32799
2021;8;995;3;M;1;3;3;38143583;7236;45227859;7388;38852904;7186;47227860;7400
2021;8;995;3;M;1;4;3;42856995;9221;48746692;9227;46788565;9377;54233428;9412
2021;8;995;3;M;1;5;3;;;;;;;;
2021;8;995;3;M;1;7;3;44838460;7967;50568491;7981;32239090;7683;38766143;7701
2021;8;995;3;M;1;8;3;8790549;2129;9940437;2129;7099221;2129;8296809;2129
2021;8;995;3;M;1;9;3;4379969;1122;4946383;1122;3736713;1122;4262630;1122
2021;8;995;3;M;2;1;3;47451104;2509;57988272;2509;50826485;2703;63000230;2703
2021;8;995;3;M;2;2;3;594522894;78082;706948314;79100;606304064;78026;734804921;79079
2021;8;995;3;M;2;3;3;91634609;16836;109285427;17353;96489239;18752;118166609;19372
2021;8;995;3;M;2;4;3;41201991;7801;47679940;7987;41278197;7534;49020384;7798
2021;8;995;3;M;2;5;3;;;;;;;;
2021;8;995;3;M;2;7;3;274407173;56400;321759215;56783;258472422;56428;310480904;56741
2021;8;995;3;M;2;8;3;45291737;9088;54132032;9134;44401778;9157;54417995;9207
2021;8;995;3;M;2;9;3;11397937;1916;13391271;1935;11397937;1916;13391271;1935
2021;8;997;1;G;1;1;3;;;;;;;;
2021;8;997;1;G;1;2;3;;;;;;;;
